Period,Inventory Bldgs,Inventory Units,Inventory Avg SF,Asking Rent Per Unit,Asking Rent Per SF,Asking Rent % Growth/Yr,Effective Rent Per Unit,Effective Rent Per SF,Effective Rent % Growth/Yr,Effective Rent Concessions %,Vacancy Units,Vacancy Percent,Vacancy % Growth/Yr,Occupancy Units,Occupancy Percent,Occupancy % Growth/Yr,Absorption Units,Absorption Percent,Under Construction Bldgs,Under Construction Units,Under Construction Percent,Deliveries Bldgs,Deliveries Units,Deliveries Percent
2024 Q1 QTD,43,526,813,"$1,441 ",$1.76 ,0.10%,1434.00,$1.75 ,0.10%,0.50%,22,4.20%,0.70%,504,95.80%,-0.70%,0,0.00%,0,0,0.00%,0,0,0.00%
2023 Q4,43,526,813,"$1,448 ",$1.77 ,0.70%,1441.00,$1.76 ,0.60%,0.50%,21,4.10%,0.70%,505,95.90%,-0.70%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2023 Q3,43,526,813,"$1,458 ",$1.78 ,0.40%,1451.00,$1.78 ,0.30%,0.50%,20,3.80%,0.60%,506,96.20%,-0.60%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2023 Q2,43,526,813,"$1,477 ",$1.81 ,2.90%,1470.00,$1.80 ,2.80%,0.50%,20,3.70%,0.70%,506,96.30%,-0.70%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2023 Q1,43,526,813,"$1,441 ",$1.76 ,1.50%,1435.00,$1.75 ,1.40%,0.50%,19,3.60%,0.60%,507,96.40%,-0.60%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2022 Q4,43,526,813,"$1,438 ",$1.76 ,1.40%,1432.00,$1.75 ,1.30%,0.50%,18,3.40%,0.80%,508,96.60%,-0.80%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2022 Q3,43,526,813,"$1,453 ",$1.78 ,1.60%,1447.00,$1.77 ,1.50%,0.40%,17,3.20%,0.70%,509,96.80%,-0.70%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2022 Q2,43,526,813,"$1,436 ",$1.76 ,1.50%,1430.00,$1.75 ,1.40%,0.40%,16,3.10%,0.60%,510,96.90%,-0.60%,0,0.00%,0,0,0.00%,0,0,0.00%
2022 Q1,43,526,813,"$1,421 ",$1.74 ,2.40%,1414.00,$1.73 ,2.40%,0.40%,16,3.00%,0.40%,510,97.00%,-0.40%,-2,-0.40%,0,0,0.00%,0,0,0.00%
2021 Q4,43,526,813,"$1,419 ",$1.74 ,3.60%,1413.00,$1.73 ,3.60%,0.40%,13,2.50%,-0.40%,513,97.50%,0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2021 Q3,43,526,813,"$1,430 ",$1.75 ,3.90%,1425.00,$1.74 ,4.00%,0.40%,13,2.50%,-0.70%,513,97.50%,0.70%,0,0.00%,0,0,0.00%,0,0,0.00%
2021 Q2,43,526,813,"$1,415 ",$1.73 ,3.80%,1409.00,$1.72 ,3.90%,0.40%,13,2.50%,-0.80%,513,97.50%,0.80%,1,0.20%,0,0,0.00%,0,0,0.00%
2021 Q1,43,526,813,"$1,387 ",$1.69 ,3.40%,1381.00,$1.69 ,3.50%,0.40%,14,2.60%,-0.70%,512,97.40%,0.70%,2,0.40%,0,0,0.00%,0,0,0.00%
2020 Q4,43,526,813,"$1,369 ",$1.67 ,5.40%,1364.00,$1.67 ,5.50%,0.30%,16,3.00%,-0.30%,510,97.00%,0.30%,1,0.20%,0,0,0.00%,0,0,0.00%
2020 Q3,43,526,813,"$1,376 ",$1.68 ,4.10%,1370.00,$1.67 ,4.10%,0.50%,17,3.20%,0.00%,509,96.80%,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%
2020 Q2,43,526,813,"$1,363 ",$1.66 ,3.90%,1357.00,$1.66 ,3.90%,0.50%,17,3.20%,0.20%,509,96.80%,-0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2020 Q1,43,526,813,"$1,341 ",$1.64 ,3.10%,1335.00,$1.63 ,3.00%,0.50%,17,3.30%,0.30%,509,96.70%,-0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2019 Q4,43,526,813,"$1,298 ",$1.58 ,0.50%,1293.00,$1.57 ,0.50%,0.40%,17,3.30%,0.40%,509,96.70%,-0.40%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2019 Q3,43,526,813,"$1,322 ",$1.61 ,2.00%,1316.00,$1.60 ,1.90%,0.50%,17,3.20%,0.30%,509,96.80%,-0.30%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2019 Q2,43,526,813,"$1,312 ",$1.60 ,0.90%,1306.00,$1.59 ,0.90%,0.50%,16,3.10%,0.30%,510,96.90%,-0.30%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2019 Q1,43,526,813,"$1,301 ",$1.58 ,0.10%,1296.00,$1.58 ,0.50%,0.50%,16,3.00%,0.20%,510,97.00%,-0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q4,43,526,813,"$1,292 ",$1.57 ,-0.10%,1286.00,$1.57 ,0.30%,0.50%,15,2.90%,0.20%,511,97.10%,-0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q3,43,526,813,"$1,296 ",$1.58 ,0.80%,1290.00,$1.57 ,0.80%,0.50%,15,2.90%,0.30%,511,97.10%,-0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q2,43,526,813,"$1,300 ",$1.58 ,2.30%,1294.00,$1.58 ,2.30%,0.40%,15,2.80%,0.20%,511,97.20%,-0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q1,43,526,813,"$1,300 ",$1.59 ,3.70%,1289.00,$1.57 ,3.30%,0.90%,14,2.70%,0.00%,512,97.30%,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%
