Period,Inventory Bldgs,Inventory Units,Inventory Avg SF,Asking Rent Per Unit,Asking Rent Per SF,Asking Rent % Growth/Yr,Effective Rent Per Unit,Effective Rent Per SF,Effective Rent % Growth/Yr,Effective Rent Concessions %,Vacancy Units,Vacancy Percent,Vacancy % Growth/Yr,Occupancy Units,Occupancy Percent,Occupancy % Growth/Yr,Absorption Units,Absorption Percent,Under Construction Bldgs,Under Construction Units,Under Construction Percent,Deliveries Bldgs,Deliveries Units,Deliveries Percent
2024 Q1 QTD,66,"1,439",747,"$1,249 ",$1.67 ,0.40%,1242.00,$1.67 ,0.40%,0.50%,69,4.80%,0.90%,"1,370.00",95.20%,-0.90%,-1,-0.10%,0,0,0.00%,0,0,0.00%
2023 Q4,66,"1,439",747,"$1,250 ",$1.68 ,0.70%,1244.00,$1.67 ,0.60%,0.50%,68,4.70%,0.90%,"1,371.00",95.30%,-0.90%,-4,-0.30%,0,0,0.00%,0,0,0.00%
2023 Q3,66,"1,439",747,"$1,258 ",$1.69 ,1.00%,1252.00,$1.68 ,1.00%,0.50%,64,4.50%,0.80%,"1,375.00",95.50%,-0.80%,-2,-0.10%,0,0,0.00%,0,0,0.00%
2023 Q2,66,"1,439",747,"$1,258 ",$1.69 ,1.70%,1252.00,$1.68 ,1.60%,0.50%,63,4.40%,0.90%,"1,376.00",95.60%,-0.90%,-3,-0.20%,0,0,0.00%,0,0,0.00%
2023 Q1,66,"1,439",747,"$1,248 ",$1.67 ,2.60%,1241.00,$1.66 ,2.50%,0.50%,59,4.10%,0.80%,"1,380.00",95.90%,-0.80%,-4,-0.30%,0,0,0.00%,0,0,0.00%
2022 Q4,66,"1,439",747,"$1,242 ",$1.66 ,3.70%,1236.00,$1.66 ,3.60%,0.50%,55,3.80%,0.80%,"1,384.00",96.20%,-0.80%,-3,-0.20%,0,0,0.00%,0,0,0.00%
2022 Q3,66,"1,439",747,"$1,246 ",$1.67 ,3.30%,1240.00,$1.66 ,3.30%,0.50%,52,3.60%,0.70%,"1,387.00",96.40%,-0.70%,-3,-0.20%,0,0,0.00%,0,0,0.00%
2022 Q2,66,"1,439",747,"$1,237 ",$1.66 ,3.70%,1232.00,$1.65 ,3.70%,0.40%,49,3.40%,0.50%,"1,390.00",96.60%,-0.50%,-1,-0.10%,0,0,0.00%,0,0,0.00%
2022 Q1,66,"1,439",747,"$1,216 ",$1.63 ,3.30%,1211.00,$1.62 ,3.30%,0.50%,48,3.30%,0.30%,"1,391.00",96.70%,-0.30%,-5,-0.30%,0,0,0.00%,0,0,0.00%
2021 Q4,66,"1,439",747,"$1,197 ",$1.60 ,3.10%,1193.00,$1.60 ,3.00%,0.40%,43,3.00%,-0.30%,"1,396.00",97.00%,0.30%,-1,-0.10%,0,0,0.00%,0,0,0.00%
2021 Q3,66,"1,439",747,"$1,206 ",$1.61 ,3.60%,1201.00,$1.61 ,3.70%,0.40%,41,2.90%,-0.70%,"1,398.00",97.10%,0.70%,0,0.00%,0,0,0.00%,0,0,0.00%
2021 Q2,66,"1,439",747,"$1,193 ",$1.60 ,3.70%,1188.00,$1.59 ,3.70%,0.40%,42,2.90%,-0.70%,"1,397.00",97.10%,0.70%,1,0.10%,0,0,0.00%,0,0,0.00%
2021 Q1,66,"1,439",747,"$1,178 ",$1.57 ,3.40%,1172.00,$1.57 ,3.50%,0.40%,43,3.00%,-0.70%,"1,396.00",97.00%,0.70%,5,0.30%,0,0,0.00%,0,0,0.00%
2020 Q4,66,"1,439",747,"$1,162 ",$1.55 ,4.00%,1157.00,$1.55 ,4.10%,0.40%,48,3.30%,-0.40%,"1,391.00",96.70%,0.40%,3,0.20%,0,0,0.00%,0,0,0.00%
2020 Q3,66,"1,439",747,"$1,164 ",$1.56 ,3.90%,1158.00,$1.55 ,3.90%,0.50%,51,3.50%,-0.10%,"1,388.00",96.50%,0.10%,2,0.10%,0,0,0.00%,0,0,0.00%
2020 Q2,66,"1,439",747,"$1,151 ",$1.54 ,2.80%,1145.00,$1.53 ,2.80%,0.50%,52,3.60%,0.10%,"1,387.00",96.40%,-0.10%,1,0.10%,0,0,0.00%,0,0,0.00%
2020 Q1,66,"1,439",747,"$1,139 ",$1.52 ,2.40%,1133.00,$1.51 ,2.40%,0.50%,54,3.70%,0.30%,"1,385.00",96.30%,-0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2019 Q4,66,"1,439",747,"$1,117 ",$1.49 ,1.10%,1112.00,$1.48 ,1.10%,0.40%,54,3.70%,0.30%,"1,385.00",96.30%,-0.30%,-1,-0.10%,0,0,0.00%,0,0,0.00%
2019 Q3,66,"1,439",747,"$1,120 ",$1.49 ,1.40%,1115.00,$1.49 ,1.40%,0.50%,52,3.60%,0.30%,"1,387.00",96.40%,-0.30%,-2,-0.10%,0,0,0.00%,0,0,0.00%
2019 Q2,66,"1,439",747,"$1,119 ",$1.49 ,1.40%,1114.00,$1.49 ,1.40%,0.50%,51,3.50%,0.20%,"1,388.00",96.50%,-0.20%,-1,-0.10%,0,0,0.00%,0,0,0.00%
2019 Q1,66,"1,439",747,"$1,112 ",$1.48 ,1.00%,1107.00,$1.48 ,1.20%,0.50%,49,3.40%,0.10%,"1,390.00",96.60%,-0.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q4,66,"1,439",747,"$1,105 ",$1.47 ,1.00%,1100.00,$1.47 ,1.40%,0.50%,49,3.40%,0.20%,"1,390.00",96.60%,-0.20%,-1,-0.10%,0,0,0.00%,0,0,0.00%
2018 Q3,66,"1,439",747,"$1,105 ",$1.47 ,1.80%,1099.00,$1.47 ,1.80%,0.50%,48,3.40%,0.20%,"1,391.00",96.60%,-0.20%,-1,-0.10%,0,0,0.00%,0,0,0.00%
2018 Q2,66,"1,439",747,"$1,104 ",$1.47 ,2.90%,1098.00,$1.47 ,2.90%,0.50%,48,3.30%,0.10%,"1,391.00",96.70%,-0.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q1,66,"1,439",747,"$1,101 ",$1.47 ,4.40%,1094.00,$1.46 ,4.20%,0.70%,47,3.30%,0.00%,"1,392.00",96.70%,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%
2017 Q4,66,"1,439",747,"$1,094 ",$1.46 ,4.10%,1085.00,$1.45 ,3.70%,0.80%,47,3.30%,-0.20%,"1,392.00",96.70%,0.20%,-2,-0.10%,0,0,0.00%,0,0,0.00%
2017 Q3,66,"1,439",747,"$1,085 ",$1.45 ,4.30%,1080.00,$1.44 ,4.30%,0.50%,45,3.10%,-0.40%,"1,394.00",96.90%,0.40%,1,0.10%,0,0,0.00%,0,0,0.00%
2017 Q2,66,"1,439",747,"$1,072 ",$1.43 ,4.60%,1067.00,$1.42 ,4.60%,0.50%,46,3.20%,-0.30%,"1,393.00",96.80%,0.30%,2,0.10%,0,0,0.00%,0,0,0.00%
2017 Q1,66,"1,439",747,"$1,054 ",$1.40 ,3.30%,1049.00,$1.40 ,3.30%,0.50%,48,3.30%,-0.30%,"1,391.00",96.70%,0.30%,1,0.10%,0,0,0.00%,0,0,0.00%
2016 Q4,66,"1,439",747,"$1,052 ",$1.40 ,3.80%,1047.00,$1.39 ,3.80%,0.50%,49,3.40%,-0.70%,"1,390.00",96.60%,0.70%,1,0.10%,0,0,0.00%,0,0,0.00%
2016 Q3,66,"1,439",747,"$1,040 ",$1.38 ,3.40%,1035.00,$1.38 ,3.60%,0.50%,51,3.50%,-1.00%,"1,388.00",96.50%,1.00%,0,0.00%,0,0,0.00%,0,0,0.00%
2016 Q2,66,"1,439",747,"$1,025 ",$1.36 ,3.70%,1020.00,$1.36 ,3.80%,0.50%,51,3.50%,-1.30%,"1,388.00",96.50%,1.30%,2,0.10%,0,0,0.00%,0,0,0.00%
2016 Q1,66,"1,439",747,"$1,021 ",$1.36 ,4.10%,1016.00,$1.35 ,4.20%,0.50%,53,3.70%,-1.40%,"1,386.00",96.30%,1.40%,7,0.50%,0,0,0.00%,0,0,0.00%
2015 Q4,66,"1,439",747,"$1,013 ",$1.35 ,3.40%,1008.00,$1.34 ,3.50%,0.50%,60,4.10%,-2.00%,"1,379.00",95.90%,2.00%,5,0.30%,0,0,0.00%,0,0,0.00%
2015 Q3,66,"1,439",747,"$1,005 ",$1.34 ,2.90%,999.00,$1.33 ,2.90%,0.60%,65,4.50%,-1.70%,"1,374.00",95.50%,1.70%,4,0.30%,0,0,0.00%,0,0,0.00%
2015 Q2,66,"1,439",747,$988 ,$1.31 ,1.90%,983.00,$1.31 ,1.90%,0.60%,69,4.80%,-1.10%,"1,370.00",95.20%,1.10%,3,0.20%,0,0,0.00%,0,0,0.00%
2015 Q1,66,"1,439",747,$981 ,$1.30 ,1.40%,975.00,$1.30 ,1.40%,0.60%,73,5.00%,-0.70%,"1,366.00",95.00%,0.70%,16,1.10%,0,0,0.00%,0,0,0.00%
2014 Q4,66,"1,439",747,$979 ,$1.30 ,1.70%,973.00,$1.29 ,1.70%,0.60%,88,6.10%,0.30%,"1,351.00",93.90%,-0.30%,1,0.10%,0,0,0.00%,0,0,0.00%
2014 Q3,66,"1,439",747,$977 ,$1.30 ,1.80%,971.00,$1.29 ,1.90%,0.60%,89,6.20%,0.30%,"1,350.00",93.80%,-0.30%,-4,-0.30%,0,0,0.00%,0,0,0.00%
2014 Q2,66,"1,439",747,$970 ,$1.29 ,1.80%,964.00,$1.28 ,1.80%,0.60%,85,5.90%,-0.20%,"1,354.00",94.10%,0.20%,-3,-0.20%,0,0,0.00%,0,0,0.00%
2014 Q1,66,"1,439",747,$967 ,$1.28 ,1.60%,961.00,$1.28 ,1.70%,0.60%,83,5.70%,-0.90%,"1,356.00",94.30%,0.90%,1,0.10%,0,0,0.00%,0,0,0.00%
2013 Q4,66,"1,439",747,$963 ,$1.28 ,1.70%,957.00,$1.27 ,1.70%,0.60%,84,5.80%,-0.80%,"1,355.00",94.20%,0.80%,1,0.10%,0,0,0.00%,0,0,0.00%
2013 Q3,66,"1,439",747,$959 ,$1.27 ,1.60%,953.00,$1.27 ,1.60%,0.60%,85,5.90%,-0.80%,"1,354.00",94.10%,0.80%,4,0.30%,0,0,0.00%,0,0,0.00%
2013 Q2,66,"1,439",747,$953 ,$1.27 ,1.20%,947.00,$1.26 ,1.30%,0.60%,89,6.20%,-0.60%,"1,350.00",93.80%,0.60%,7,0.50%,0,0,0.00%,0,0,0.00%
2013 Q1,66,"1,439",747,$952 ,$1.27 ,1.40%,945.00,$1.26 ,1.30%,0.70%,96,6.60%,0.00%,"1,343.00",93.40%,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%
2012 Q4,66,"1,439",747,$948 ,$1.26 ,1.10%,941.00,$1.25 ,1.10%,0.70%,96,6.70%,0.20%,"1,343.00",93.30%,-0.20%,1,0.10%,0,0,0.00%,0,0,0.00%
2012 Q3,66,"1,439",747,$945 ,$1.26 ,1.00%,938.00,$1.25 ,1.00%,0.70%,97,6.70%,0.40%,"1,342.00",93.30%,-0.40%,1,0.10%,0,0,0.00%,0,0,0.00%
2012 Q2,66,"1,439",747,$942 ,$1.25 ,0.80%,935.00,$1.24 ,0.80%,0.70%,97,6.80%,0.20%,"1,342.00",93.20%,-0.20%,-2,-0.10%,0,0,0.00%,0,0,0.00%
2012 Q1,66,"1,439",747,$939 ,$1.25 ,0.70%,933.00,$1.24 ,0.60%,0.70%,95,6.60%,0.00%,"1,344.00",93.40%,0.00%,-2,-0.10%,0,0,0.00%,0,0,0.00%
2011 Q4,66,"1,439",747,$937 ,$1.25 ,0.70%,931.00,$1.24 ,0.70%,0.70%,93,6.40%,-0.40%,"1,346.00",93.60%,0.40%,-1,-0.10%,0,0,0.00%,0,0,0.00%
2011 Q3,66,"1,439",747,$935 ,$1.24 ,0.80%,929.00,$1.24 ,0.80%,0.70%,91,6.30%,-0.80%,"1,348.00",93.70%,0.80%,74,5.10%,0,0,0.00%,1,75,5.20%
2011 Q2,65,"1,364",744,$934 ,$1.24 ,1.20%,928.00,$1.23 ,1.20%,0.60%,90,6.60%,-0.80%,"1,274.00",93.40%,0.80%,1,0.10%,1,75,5.50%,0,0,0.00%
2011 Q1,65,"1,364",744,$933 ,$1.24 ,1.50%,927.00,$1.23 ,1.50%,0.60%,91,6.70%,-1.00%,"1,273.00",93.30%,1.00%,3,0.20%,1,75,5.50%,0,0,0.00%
2010 Q4,65,"1,364",744,$930 ,$1.24 ,0.00%,924.00,$1.23 ,0.10%,0.70%,94,6.90%,-0.90%,"1,270.00",93.10%,0.90%,4,0.30%,1,75,5.50%,0,0,0.00%
2010 Q3,65,"1,364",744,$928 ,$1.23 ,-2.00%,922.00,$1.23 ,-2.00%,0.70%,97,7.10%,-0.60%,"1,267.00",92.90%,0.60%,3,0.20%,1,75,5.50%,0,0,0.00%
