Period,Inventory Bldgs,Inventory Units,Inventory Avg SF,Asking Rent Per Unit,Asking Rent Per SF,Asking Rent % Growth/Yr,Effective Rent Per Unit,Effective Rent Per SF,Effective Rent % Growth/Yr,Effective Rent Concessions %,Vacancy Units,Vacancy Percent,Vacancy % Growth/Yr,Occupancy Units,Occupancy Percent,Occupancy % Growth/Yr,Absorption Units,Absorption Percent,Under Construction Bldgs,Under Construction Units,Under Construction Percent,Deliveries Bldgs,Deliveries Units,Deliveries Percent
2024 Q1 QTD,18,87,507,$865 ,$1.86 ,3.60%,861.00,$1.85 ,3.50%,0.60%,4,5.10%,0.70%,83,94.90%,-0.70%,0,0.00%,0,0,0.00%,0,0,0.00%
2023 Q4,18,87,507,$865 ,$1.86 ,3.60%,860.00,$1.85 ,3.50%,0.60%,4,5.00%,0.70%,83,95.00%,-0.70%,0,0.00%,0,0,0.00%,0,0,0.00%
2023 Q3,18,87,507,$855 ,$1.84 ,2.60%,850.00,$1.83 ,2.60%,0.50%,4,4.70%,0.50%,83,95.30%,-0.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2023 Q2,18,87,507,$842 ,$1.81 ,1.40%,838.00,$1.80 ,1.30%,0.50%,4,4.60%,0.40%,83,95.40%,-0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2023 Q1,18,87,507,$837 ,$1.79 ,1.50%,832.00,$1.78 ,1.50%,0.50%,4,4.50%,0.30%,83,95.50%,-0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2022 Q4,18,87,507,$835 ,$1.79 ,2.80%,831.00,$1.78 ,2.70%,0.50%,4,4.30%,0.50%,83,95.70%,-0.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2022 Q3,18,87,507,$833 ,$1.79 ,2.90%,829.00,$1.78 ,2.80%,0.50%,4,4.30%,0.50%,83,95.70%,-0.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2022 Q2,18,87,507,$831 ,$1.78 ,3.00%,827.00,$1.77 ,3.00%,0.50%,4,4.20%,0.50%,83,95.80%,-0.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2022 Q1,18,87,507,$825 ,$1.77 ,2.60%,820.00,$1.76 ,2.60%,0.50%,4,4.20%,0.40%,83,95.80%,-0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2021 Q4,18,87,507,$813 ,$1.74 ,1.50%,809.00,$1.73 ,1.50%,0.50%,3,3.90%,0.00%,84,96.10%,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%
2021 Q3,18,87,507,$810 ,$1.73 ,1.40%,806.00,$1.72 ,1.50%,0.50%,3,3.70%,-0.30%,84,96.30%,0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2021 Q2,18,87,507,$806 ,$1.73 ,1.30%,803.00,$1.72 ,1.40%,0.50%,3,3.70%,-0.50%,84,96.30%,0.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2021 Q1,18,87,507,$803 ,$1.72 ,1.20%,799.00,$1.71 ,1.20%,0.50%,3,3.80%,-0.60%,84,96.20%,0.60%,0,0.00%,0,0,0.00%,0,0,0.00%
2020 Q4,18,87,507,$801 ,$1.71 ,1.30%,797.00,$1.71 ,1.30%,0.50%,3,3.90%,-0.70%,84,96.10%,0.70%,0,0.00%,0,0,0.00%,0,0,0.00%
2020 Q3,18,87,507,$798 ,$1.71 ,1.40%,794.00,$1.70 ,1.50%,0.50%,4,4.10%,-0.60%,83,95.90%,0.60%,0,0.00%,0,0,0.00%,0,0,0.00%
2020 Q2,18,87,507,$796 ,$1.70 ,1.40%,792.00,$1.69 ,1.40%,0.50%,4,4.20%,-0.50%,83,95.80%,0.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2020 Q1,18,87,507,$794 ,$1.70 ,1.50%,790.00,$1.69 ,1.50%,0.50%,4,4.40%,-0.30%,83,95.60%,0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2019 Q4,18,87,507,$791 ,$1.69 ,1.50%,786.00,$1.68 ,1.50%,0.50%,4,4.60%,-0.40%,83,95.40%,0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2019 Q3,18,87,507,$787 ,$1.68 ,1.50%,783.00,$1.68 ,1.50%,0.50%,4,4.60%,-0.50%,83,95.40%,0.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2019 Q2,18,87,507,$785 ,$1.68 ,1.80%,781.00,$1.67 ,1.80%,0.50%,4,4.70%,-0.60%,83,95.30%,0.60%,0,0.00%,0,0,0.00%,0,0,0.00%
2019 Q1,18,87,507,$782 ,$1.67 ,2.00%,778.00,$1.66 ,2.00%,0.50%,4,4.80%,-0.60%,83,95.20%,0.60%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q4,18,87,507,$779 ,$1.67 ,2.10%,775.00,$1.66 ,2.20%,0.60%,4,4.90%,-0.50%,83,95.10%,0.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q3,18,87,507,$775 ,$1.66 ,2.80%,771.00,$1.65 ,2.80%,0.60%,4,5.10%,-0.30%,83,94.90%,0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q2,18,87,507,$771 ,$1.65 ,4.80%,767.00,$1.64 ,4.80%,0.60%,5,5.20%,-0.30%,82,94.80%,0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
