time_stamp,daily_mean_25pm,daily_sensor_count
2017-11-18,1.5,1
2018-01-15,1.55,1
2018-01-16,2.0,1
2018-01-17,1.2,1
2018-01-18,1.15,1
2018-01-19,0.55,1
2018-01-20,0.55,1
2018-01-21,0.5,1
2018-01-22,0.45,1
2018-01-23,0.7,1
2018-01-24,0.6,1
2018-01-25,0.55,1
2018-01-26,0.25,1
2018-01-27,0.3,1
2018-01-28,1.1,1
2018-01-29,2.45,1
2018-01-30,4.7,1
2018-01-31,0.45,1
2018-02-01,0.9,1
2018-02-02,0.65,1
2018-02-03,1.1,1
2018-02-04,1.0,1
2018-02-05,1.3,1
2018-02-06,0.65,1
2018-02-07,0.5,1
2018-02-08,1.2,1
2018-02-09,1.05,1
2018-02-10,0.65,1
2018-02-11,1.5,1
2018-02-12,1.0,1
2018-02-13,0.85,1
2018-02-14,1.15,1
2018-02-15,1.15,1
2018-02-16,3.05,1
2018-02-17,1.35,1
2018-02-18,2.75,1
2018-02-19,0.6,1
2018-02-20,0.1,1
2018-02-21,0.65,1
2018-02-22,1.95,1
2018-02-23,0.55,1
2018-02-24,0.65,1
2018-02-25,0.95,1
2018-02-26,1.05,1
2018-02-27,0.3,1
2018-02-28,0.85,1
2018-03-03,0.2,1
2018-03-04,0.2,1
2018-03-05,0.35,1
2018-03-06,0.4,1
2018-03-07,0.6,1
2018-03-08,1.0,1
2018-03-09,0.85,1
2018-03-10,0.75,1
2018-03-11,1.25,1
2018-03-12,1.7,1
2018-03-13,0.3,1
2018-03-14,0.5,1
2018-03-15,0.3,1
2018-03-16,0.45,1
2018-03-17,0.45,1
2018-03-18,0.7,1
2018-03-19,0.3,1
2018-03-20,0.5,1
2018-03-21,0.2,1
2018-03-22,0.1,1
2018-03-23,0.35,1
2018-03-24,0.75,1
2018-03-25,0.4,1
2018-03-26,0.75,1
2018-03-27,0.2,1
2018-03-28,0.65,1
2018-03-29,0.55,1
2018-03-30,1.05,1
2018-03-31,1.4,1
2018-04-01,1.2,1
2018-04-02,1.25,1
2018-04-03,1.25,1
2018-04-04,1.4,1
2018-04-05,2.25,1
2018-04-06,1.9,1
2018-04-07,0.8,1
