year,month,Purchase Amt,month_year
2008,1,625750.0,2008-1
2008,2,451500.0,2008-2
2008,3,448500.0,2008-3
2008,4,670000.0,2008-4
2008,5,544500.0,2008-5
2008,6,655000.0,2008-6
2008,7,603000.0,2008-7
2008,8,628000.0,2008-8
2008,9,796250.0,2008-9
2008,10,592500.0,2008-10
2008,11,425000.0,2008-11
2008,12,667500.0,2008-12
2009,1,470000.0,2009-1
2009,2,596000.0,2009-2
2009,3,585000.0,2009-3
2009,4,400000.0,2009-4
2009,5,454500.0,2009-5
2009,6,383500.0,2009-6
2009,7,417500.0,2009-7
2009,8,485000.0,2009-8
2009,9,530000.0,2009-9
2009,10,499000.0,2009-10
2009,11,379000.0,2009-11
2009,12,417000.0,2009-12
2010,1,395000.0,2010-1
2010,2,400000.0,2010-2
2010,3,435000.0,2010-3
2010,4,329250.0,2010-4
2010,5,570000.0,2010-5
2010,6,382500.0,2010-6
2010,7,622500.0,2010-7
2010,8,466250.0,2010-8
2010,9,450000.0,2010-9
2010,10,410000.0,2010-10
2010,11,567500.0,2010-11
2010,12,409000.0,2010-12
2011,1,400000.0,2011-1
2011,2,748000.0,2011-2
2011,3,545000.0,2011-3
2011,4,412000.0,2011-4
2011,5,420000.0,2011-5
2011,6,425000.0,2011-6
2011,7,371000.0,2011-7
2011,8,400000.0,2011-8
2011,9,450000.0,2011-9
2011,10,490000.0,2011-10
2011,11,1170000.0,2011-11
2011,12,440000.0,2011-12
2012,1,580000.0,2012-1
2012,2,464500.0,2012-2
2012,3,324000.0,2012-3
2012,4,424000.0,2012-4
2012,5,392500.0,2012-5
2012,6,352000.0,2012-6
2012,7,430000.0,2012-7
2012,8,365500.0,2012-8
2012,9,330000.0,2012-9
2012,10,410000.0,2012-10
2012,11,395500.0,2012-11
2012,12,495000.0,2012-12
2013,1,465000.0,2013-1
2013,2,347000.0,2013-2
2013,3,520000.0,2013-3
2013,4,510000.0,2013-4
2013,5,425000.0,2013-5
2013,6,440000.0,2013-6
2013,7,402500.0,2013-7
2013,8,418750.0,2013-8
2013,9,460000.0,2013-9
2013,10,419000.0,2013-10
2013,11,395000.0,2013-11
2013,12,525000.0,2013-12
2014,1,429000.0,2014-1
2014,2,493000.0,2014-2
2014,3,457000.0,2014-3
2014,4,425000.0,2014-4
2014,5,547500.0,2014-5
2014,6,443000.0,2014-6
2014,7,430000.0,2014-7
2014,8,435000.0,2014-8
2014,9,447000.0,2014-9
2014,10,480000.0,2014-10
2014,11,430000.0,2014-11
2014,12,485000.0,2014-12
2015,1,525000.0,2015-1
2015,2,610000.0,2015-2
2015,3,450000.0,2015-3
2015,4,532500.0,2015-4
2015,5,472500.0,2015-5
2015,6,535000.0,2015-6
2015,7,460000.0,2015-7
2015,8,405000.0,2015-8
2015,9,444500.0,2015-9
2015,10,435000.0,2015-10
2015,11,483500.0,2015-11
2015,12,425000.0,2015-12
2016,1,562000.0,2016-1
2016,2,440000.0,2016-2
2016,3,484250.0,2016-3
2016,4,425000.0,2016-4
2016,5,492500.0,2016-5
2016,6,486000.0,2016-6
2016,7,487000.0,2016-7
2016,8,500000.0,2016-8
2016,9,497000.0,2016-9
2016,10,499500.0,2016-10
2016,11,555000.0,2016-11
2016,12,485000.0,2016-12
2017,1,505500.0,2017-1
2017,2,395000.0,2017-2
2017,3,460000.0,2017-3
2017,4,549000.0,2017-4
2017,5,525000.0,2017-5
2017,6,594000.0,2017-6
2017,7,522000.0,2017-7
2017,8,525000.0,2017-8
2017,9,485000.0,2017-9
2017,10,550000.0,2017-10
2017,11,533000.0,2017-11
2017,12,490000.0,2017-12
2018,1,535000.0,2018-1
2018,2,609000.0,2018-2
2018,3,592500.0,2018-3
2018,4,617500.0,2018-4
2018,5,576750.0,2018-5
2018,6,645000.0,2018-6
2018,7,649000.0,2018-7
2018,8,559500.0,2018-8
2018,9,613000.0,2018-9
2018,10,645000.0,2018-10
2018,11,582500.0,2018-11
2018,12,628000.0,2018-12
2019,1,676500.0,2019-1
2019,2,581932.0,2019-2
2019,3,535000.0,2019-3
2019,4,507500.0,2019-4
2019,5,633500.0,2019-5
2019,6,684000.0,2019-6
2019,7,510000.0,2019-7
2019,8,649750.0,2019-8
2019,9,646250.0,2019-9
2019,10,535000.0,2019-10
2019,11,580000.0,2019-11
2019,12,521625.0,2019-12
2020,1,716000.0,2020-1
2020,2,530000.0,2020-2
2020,3,599000.0,2020-3
2020,4,635000.0,2020-4
2020,5,655000.0,2020-5
2020,6,641250.0,2020-6
2020,7,709250.0,2020-7
2020,8,703000.0,2020-8
2020,9,700000.0,2020-9
2020,10,700000.0,2020-10
2020,11,700000.0,2020-11
2020,12,650000.0,2020-12
2021,1,750000.0,2021-1
2021,2,901000.0,2021-2
2021,3,800000.0,2021-3
2021,4,755000.0,2021-4
2021,5,822000.0,2021-5
2021,6,811000.0,2021-6
2021,7,928500.0,2021-7
2021,8,810000.0,2021-8
2021,9,889000.0,2021-9
2021,10,799250.0,2021-10
2021,11,899000.0,2021-11
2021,12,810000.0,2021-12
2022,1,815000.0,2022-1
2022,2,850000.0,2022-2
2022,3,995000.0,2022-3
2022,4,820000.0,2022-4
2022,5,975000.0,2022-5
2022,6,850000.0,2022-6
2022,7,862000.0,2022-7
2022,8,780000.0,2022-8
2022,9,785000.0,2022-9
2022,10,985000.0,2022-10
2022,11,776500.0,2022-11
2022,12,700000.0,2022-12
2023,1,727500.0,2023-1
2023,2,887500.0,2023-2
2023,3,725000.0,2023-3
2023,4,1005000.0,2023-4
2023,5,795000.0,2023-5
2023,6,825000.0,2023-6
2023,7,775000.0,2023-7
2023,8,930000.0,2023-8
2023,9,916250.0,2023-9
2023,10,765000.0,2023-10
2023,11,812500.0,2023-11
2023,12,730000.0,2023-12
2024,1,980000.0,2024-1
